Country,Total_Cases,Total_Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population
South Sudan,12104,130.0,11617.0,357.0,1065,11.0,235462.0,20725.0,11361067
Spain,4977448,86827.0,4816194.0,74427.0,106406,1856.0,66213858.0,1415494.0,46777901
Sri Lanka,527064,13354.0,480499.0,33211.0,24483,620.0,5348696.0,248455.0,21527844
St. Barth,1587,6.0,462.0,1119.0,160061,605.0,38369.0,3869793.0,9915
St. Vincent Grenadines,4096,38.0,2693.0,1365.0,36772,341.0,80024.0,718413.0,111390
Sudan,38824,2928.0,32395.0,3501.0,860,65.0,238579.0,5284.0,45152366
Suriname,44306,968.0,27005.0,16333.0,74673,1631.0,135457.0,228297.0,593337
Sweden,1157822,14864.0,1124661.0,18297.0,113739,1460.0,12743845.0,1251898.0,10179622
Switzerland,850679,11146.0,796932.0,42601.0,97383,1276.0,11212163.0,1283535.0,8735375
Syria,37229,2348.0,24573.0,10308.0,2063,130.0,103566.0,5740.0,18041683
Taiwan,16305,846.0,15306.0,153.0,683,35.0,6754661.0,282956.0,23871809
Tajikistan,17084,124.0,16960.0,0.0,1741,13.0,,,9810347
Tanzania,25957,723.0,,,419,12.0,,,61897988
Thailand,1730364,17835.0,1604355.0,108174.0,24711,255.0,9201621.0,131407.0,70023568
Timor-Leste,19673,119.0,19332.0,222.0,14568,88.0,169501.0,125516.0,1350429
Togo,25788,236.0,24516.0,1036.0,3025,28.0,527256.0,61843.0,8525682
Trinidad and Tobago,52847,1555.0,46991.0,4301.0,37606,1107.0,369782.0,263139.0,1405273
Tunisia,709866,25039.0,682624.0,2203.0,59272,2091.0,2995453.0,250114.0,11976337
Turkey,7475115,66368.0,6927337.0,481410.0,87432,776.0,90202990.0,1055050.0,85496437
Turks and Caicos,2898,23.0,2819.0,56.0,73581,584.0,94789.0,2406728.0,39385
UAE,737890,2114.0,731295.0,4481.0,73475,210.0,87246490.0,8687493.0,10042769
